frame,north,south,east,west,phase,time
306,0,18,20,0,EW,5
307,0,21,20,0,EW,4
308,0,25,20,1,EW,4
309,0,22,21,2,EW,3
310,0,26,21,2,EW,3
311,0,29,22,1,EW,2
312,0,21,23,0,EW,2
313,0,25,23,0,EW,1
314,0,22,22,0,NS,38
315,0,9,22,0,EW,0
316,0,12,22,1,NS,33
317,0,15,22,2,NS,34
318,0,18,21,3,NS,36
319,0,12,20,2,NS,32
320,0,12,20,0,NS,30
321,0,15,20,1,NS,33
322,0,15,20,2,NS,33
323,3,16,20,3,NS,34
324,6,17,20,4,NS,35
325,0,17,20,5,NS,31
326,0,16,20,5,NS,30
327,0,3,20,5,NS,18
328,0,6,20,5,NS,21
329,0,15,20,5,NS,25
330,0,15,20,5,NS,25
331,0,15,20,5,NS,24
332,0,24,20,5,NS,31
333,0,33,20,5,NS,33
334,0,18,20,5,NS,27
335,0,3,20,5,NS,14
336,0,6,15,5,NS,19
337,0,9,16,0,NS,23
338,0,12,17,1,NS,22
339,0,15,18,2,NS,25
340,0,18,19,3,NS,23
341,0,24,20,4,NS,24
342,0,30,20,1,NS,30
343,0,33,15,2,NS,32
344,0,21,16,3,NS,24
345,0,16,17,4,NS,22
346,0,20,18,5,NS,23
347,0,21,19,5,NS,22
348,0,22,20,5,NS,22
349,0,11,20,15,NS,12
350,0,17,20,15,NS,16
351,0,18,10,15,NS,18
352,0,24,10,15,NS,21
353,0,27,16,15,NS,19
354,0,31,26,15,NS,18
355,0,32,29,15,NS,16
356,0,32,33,15,NS,13
357,0,16,37,15,NS,8
358,0,17,37,15,NS,8
359,0,17,21,0,NS,15
360,0,19,20,3,NS,16
361,0,21,20,6,NS,14
362,0,22,23,9,NS,13
363,0,23,9,12,NS,16
364,0,22,12,15,NS,13
365,0,20,10,15,NS,12
366,0,15,18,15,NS,7
367,0,19,22,15,NS,7
368,0,26,26,0,NS,11
369,0,27,29,0,NS,12
370,0,32,17,0,NS,19
371,0,36,20,0,NS,17
372,0,7,20,0,NS,2
373,0,11,24,0,NS,3
374,0,24,28,3,NS,8
375,0,9,31,6,EW,49
376,0,15,12,9,NS,6
377,0,21,8,6,NS,10
378,0,24,11,0,NS,16
379,0,27,14,0,NS,14
380,0,18,20,3,NS,5
381,0,0,26,6,EW,46
382,0,6,26,6,EW,46
383,0,9,8,3,NS,1
384,0,12,11,0,NS,6
385,0,15,11,0,NS,8
386,0,18,14,0,NS,7
387,0,21,14,0,NS,5
388,0,27,11,0,NS,12
389,0,36,8,0,NS,15
390,0,30,5,0,NS,17
391,0,30,7,3,NS,9
392,0,33,7,3,NS,12
393,0,36,3,3,NS,15
394,0,18,4,3,NS,9
395,0,18,6,3,NS,6
396,0,18,5,0,NS,11
397,0,15,5,0,NS,6
398,0,15,0,0,NS,18
399,0,18,0,0,NS,17
400,0,21,1,3,NS,11
401,0,24,3,6,NS,6
402,0,27,5,6,NS,5
403,0,33,7,3,NS,6
404,0,33,9,0,NS,7
405,0,33,10,0,NS,5
406,0,33,10,0,NS,5
407,0,33,5,0,NS,8
408,0,36,5,0,NS,9
409,0,36,0,0,NS,12
410,0,18,0,0,NS,12
411,0,18,1,3,NS,4
412,0,21,12,6,EW,31
413,0,27,15,9,EW,30
414,0,30,18,6,EW,30
415,0,21,18,0,EW,29
416,0,24,17,0,EW,29
417,0,6,16,0,EW,28
418,0,0,2,0,EW,28
419,0,0,3,0,EW,27
420,0,0,7,0,EW,27
421,0,0,8,0,EW,26
422,0,0,11,0,EW,26
423,0,0,11,0,EW,25
424,0,0,8,0,EW,25
425,0,0,5,0,EW,24
426,0,0,5,0,EW,24
427,0,0,5,0,EW,23
428,0,0,5,0,EW,23
429,0,0,5,0,EW,22
430,0,1,0,0,NS,2
431,0,2,0,0,NS,1
432,0,2,0,0,NS,1
433,0,1,0,0,NS,0
434,0,0,3,0,EW,20
435,0,0,3,0,EW,19
436,0,0,7,0,EW,19
437,0,0,8,0,EW,18
438,0,0,6,0,EW,18
439,0,0,2,0,EW,17
440,0,0,0,0,EW,20
441,0,0,0,0,EW,19
442,0,1,0,0,EW,16
443,0,2,0,0,EW,15
444,0,2,0,0,EW,15
445,0,3,0,0,EW,14
446,0,4,0,0,EW,14
447,0,5,0,0,EW,13
448,0,0,0,0,EW,16
449,0,0,0,0,EW,15
450,0,0,0,0,EW,15
451,0,1,0,0,EW,11
452,0,2,0,0,EW,11
453,0,3,0,0,EW,10
454,0,5,1,0,EW,10
455,0,3,1,0,EW,6
456,0,4,1,0,EW,6
457,0,5,1,0,EW,8
458,0,9,1,0,EW,5
459,0,11,0,0,EW,7
460,0,9,1,0,EW,4
461,0,4,2,0,EW,6
462,0,5,3,0,EW,3
463,0,5,4,0,EW,5
464,0,0,5,0,EW,5
465,0,0,5,0,EW,4
466,0,1,1,0,EW,1
467,0,1,2,0,EW,3
468,0,2,3,0,NS,35
469,0,3,4,0,EW,2
470,0,4,5,0,EW,2
471,0,15,5,0,NS,47
472,0,15,5,0,NS,47
473,0,15,5,0,NS,46
474,0,15,5,0,NS,46
475,0,15,5,0,NS,45
476,0,15,0,0,NS,58
477,0,0,0,0,EW,1
478,0,0,1,0,NS,18
479,0,0,2,0,NS,17
480,0,15,3,0,NS,50
481,3,0,17,0,NS,18
482,7,0,18,0,NS,27
483,7,0,17,0,NS,26
484,4,15,18,0,NS,35
485,1,15,17,0,NS,33
486,1,15,15,0,NS,34
487,0,15,15,0,NS,29
488,0,15,15,0,NS,29
489,0,0,15,0,NS,12
490,0,0,15,0,NS,12
491,0,0,15,0,NS,11
492,0,0,15,0,NS,11
493,0,0,0,0,NS,13
494,0,1,0,0,NS,49
495,0,1,0,0,NS,48
496,0,16,0,0,NS,48
497,0,16,0,0,NS,47
498,0,1,0,0,NS,47
499,0,0,0,0,NS,10
500,0,0,0,0,NS,10
501,0,0,0,0,NS,9
502,0,0,0,0,NS,9
503,0,0,0,0,NS,8
504,0,0,0,0,NS,8
505,0,0,0,0,NS,7
506,0,0,0,0,NS,7
507,0,0,0,3,NS,3
508,0,0,0,6,NS,3
509,0,0,0,9,NS,2
510,0,0,0,12,NS,2
511,0,0,0,15,NS,1
512,0,0,0,15,NS,1
513,0,0,0,15,NS,0
514,0,0,0,15,EW,59
515,0,0,0,15,EW,58
516,0,0,0,15,EW,58
517,0,0,0,15,EW,57
518,0,0,0,15,EW,57
519,0,0,0,15,EW,56
520,0,0,0,15,EW,56
521,0,0,0,15,EW,55
522,0,0,0,15,EW,55
523,0,3,0,15,NS,1
524,0,3,0,15,NS,1
525,0,6,0,0,NS,33
526,0,12,0,3,NS,22
527,0,15,0,6,NS,21
528,0,15,0,9,NS,14
529,0,15,0,12,NS,14
530,0,15,0,15,NS,8
531,0,0,0,15,EW,50
532,0,0,6,0,EW,50
533,0,0,9,0,EW,49
534,0,3,12,0,EW,45
535,0,6,3,0,NS,15
536,0,9,6,0,NS,9
537,0,12,6,0,NS,14
538,0,15,9,0,NS,9
539,0,15,12,0,NS,9
540,0,15,15,0,NS,3
541,0,15,15,0,NS,2
542,0,15,0,0,NS,25
543,0,0,0,0,EW,8
544,0,3,0,0,NS,24
545,0,6,3,0,NS,10
546,0,6,3,0,NS,10
547,0,9,6,0,NS,3
548,0,12,9,0,NS,5
549,0,16,6,0,NS,11
550,0,17,0,0,NS,21
551,0,17,3,0,NS,11
552,0,1,15,0,EW,40
553,0,0,18,3,EW,39
554,0,0,24,6,EW,39
555,0,0,21,9,EW,38
556,0,0,24,6,EW,38
557,0,0,12,0,EW,37
558,0,3,5,0,EW,33
559,0,3,0,0,NS,16
560,3,3,0,3,NS,3
561,3,3,0,6,EW,31
562,3,3,0,9,EW,31
563,3,0,3,12,EW,34
564,3,0,3,15,EW,34
565,0,0,3,15,EW,33
566,0,0,3,15,EW,33
567,0,0,7,15,EW,32
568,0,0,8,15,EW,32
569,0,0,5,15,EW,31
570,0,0,1,15,EW,31
571,0,0,3,15,EW,30
572,0,0,18,15,EW,30
573,0,0,18,15,EW,29
574,0,0,21,15,EW,29
575,0,0,24,15,EW,28
576,0,0,27,15,EW,28
577,0,3,18,15,EW,27
578,0,6,21,15,EW,27
579,0,9,24,15,EW,26
580,0,12,21,15,EW,22
581,0,3,15,15,EW,25
582,0,6,19,15,EW,21
583,0,9,19,15,EW,24
584,0,12,19,15,EW,24
585,0,3,19,15,EW,23
586,0,6,19,15,EW,19
587,0,0,15,15,EW,22
588,0,12,15,15,EW,22
589,0,0,0,15,EW,21
590,0,0,0,15,EW,21
591,0,0,1,15,EW,20
592,0,0,1,15,EW,20
593,0,0,1,15,EW,19
594,0,0,1,15,EW,19
595,0,0,5,15,EW,18
596,0,0,8,15,EW,18
597,0,0,10,15,EW,17
